id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401628448,away,153,North Carolina,ACC,2024-08-30 00:00:00+00:00,Huntington Bank Stadium,False,FOX,UNC,#7bafd4,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,North Carolina -1.5,52.5,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,
401636606,home,2305,Kansas,Big 12,2024-08-30 00:00:00+00:00,Children's Mercy Park,True,BIG12ESPN+,KU,#0051ba,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Kansas -48.5,62.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,19.0
401636606,away,2815,Lindenwood,Big South-OVC,2024-08-30 00:00:00+00:00,Children's Mercy Park,True,BIG12ESPN+,LIN,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png,Kansas -48.5,62.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,
401636606_1,home,2305,Kansas,Big 12,2024-08-30 00:00:00+00:00,Children's Mercy Park,True,ESPN+,KU,#0051ba,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Kansas -48.5,62.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,19.0
401636606_1,away,2815,Lindenwood,Big South-OVC,2024-08-30 00:00:00+00:00,Children's Mercy Park,True,ESPN+,LIN,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png,Kansas -48.5,62.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401640998,home,55,Jacksonville State,Conference USA,2024-08-30 00:00:00+00:00,AmFirst Stadium,False,CBSSN,JVST,#b50500,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,Jacksonville State -3.5,54.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401640998,away,324,Coastal Carolina,Sun Belt,2024-08-30 00:00:00+00:00,AmFirst Stadium,False,CBSSN,CCU,#007073,#876447,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,Jacksonville State -3.5,54.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401628327,home,142,Missouri,SEC,2024-08-30 00:00:00+00:00,Memorial Stadium,False,SEC NETWORK,MIZ,#f1b82d,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,Missouri -50.5,62.5,assets/tv-logos/SEC NETWORK tv channel logo/SEC_Network_logo.png,20.0
401628327,away,93,Murray State,MVFC,2024-08-30 00:00:00+00:00,Memorial Stadium,False,SEC NETWORK,MUR,#002148,#000e00,http://a.espncdn.com/i/teamlogos/ncaa/500/93.png,Missouri -50.5,62.5,assets/tv-logos/SEC NETWORK tv channel logo/SEC_Network_logo.png,
401645318,home,202,Tulsa,American Athletic,2024-08-30 00:00:00+00:00,Chapman Stadium,False,ESPN+,TLSA,#003595,#d0b787,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,Tulsa -37.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
