id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401756848,home,2116,UCF,Big 12,2025-08-28 23:00:00+00:00,FBC Mortgage Stadium,False,ESPN+,UCF,#ba9b37,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,UCF -20.5,52.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756848,away,55,Jacksonville State,Conference USA,2025-08-28 23:00:00+00:00,FBC Mortgage Stadium,False,ESPN+,JXST,#b50500,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,UCF -20.5,52.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401754373,home,152,NC State,ACC,2025-08-28 23:00:00+00:00,Carter-Finley Stadium,False,ACC Network,NCSU,#cc0000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,NC State -14.0,61.0,assets/tv-logos/ACC Network tv channel logo/ACC_Network_Raycom_Logo.png,
401754373,away,151,East Carolina,American Athletic,2025-08-28 23:00:00+00:00,Carter-Finley Stadium,False,ACC Network,ECU,#4b1869,#f0907b,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,NC State -14.0,61.0,assets/tv-logos/ACC Network tv channel logo/ACC_Network_Raycom_Logo.png,
401761588,home,2433,UL Monroe,Sun Belt,2025-08-28 23:00:00+00:00,Malone Stadium,False,ESPN+,ULM,#231F20,#b18445,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,UL Monroe -30.5,47.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401761588,away,2598,St. Francis (PA),NEC,2025-08-28 23:00:00+00:00,Malone Stadium,False,ESPN+,SFPA,#a20012,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,UL Monroe -30.5,47.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401767327,home,2450,Norfolk State,MEAC,2025-08-28 23:00:00+00:00,"William Dick"""" Price Stadium""""",False,ESPNU,NORF,#0c8968,#fdb813,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,Towson -8.5,49.5,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401767327,away,119,Towson,CAA,2025-08-28 23:00:00+00:00,"William Dick"""" Price Stadium""""",False,ESPNU,TOW,#FFC229,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/119.png,Towson -8.5,49.5,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401762789,home,2006,Akron,Mid-American,2025-08-28 23:00:00+00:00,InfoCision Stadium,False,ESPN+,AKR,#00285e,#84754e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,Wyoming -5.0,48.0,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401762789,away,2751,Wyoming,Mountain West,2025-08-28 23:00:00+00:00,InfoCision Stadium,False,ESPN+,WYO,#492f24,#ffc425,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,Wyoming -5.0,48.0,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
